690,15,,,,,,,,,,,,,,
A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16
3,39.92,0.54,4,4,2,9,0.5,2,2,3,1,1,00200,1000,1
3,33.58,2.75,3,2,11,9,4.25,2,2,6,1,1,00204,0,1
2,18.83,9.5,3,2,14,9,1.625,2,2,6,2,1,00040,600,1
2,26.92,13.5,3,2,12,5,5.0,2,2,2,1,1,00000,5000,1
2,31.25,3.75,3,2,4,5,0.625,2,2,9,2,1,00181,0,1
2,56.50,16.0,3,2,9,4,0.0,2,2,15,1,1,00000,247,1
3,43.00,0.29,4,4,4,5,1.75,2,2,8,1,1,00100,375,1
3,22.33,11.0,3,2,14,9,2.0,2,2,1,1,1,00080,278,1
3,27.25,1.665,3,2,4,5,5.085,2,2,9,1,1,00399,827,1
3,32.83,2.5,3,2,4,5,2.75,2,2,6,1,1,00160,2072,1
3,23.25,1.5,3,2,12,9,2.375,2,2,3,2,1,00000,582,1
2,40.33,7.54,4,4,12,5,8.0,2,2,14,1,1,00000,2300,1
2,30.50,6.5,3,2,3,2,4.0,2,2,7,2,1,00000,3065,1
2,52.83,15.0,3,2,3,9,5.5,2,2,14,1,1,00000,2200,1
2,46.67,0.46,3,2,4,5,0.415,2,2,11,2,1,00440,6,1
2,58.33,10.0,3,2,12,9,4.0,2,2,14,1,1,00000,1602,1
3,37.33,6.5,3,2,11,5,4.25,2,2,12,2,1,00093,0,1
3,23.08,2.5,3,2,3,9,1.085,2,2,11,2,1,00060,2184,1
3,32.75,1.5,3,2,4,5,5.5,2,2,3,2,1,00000,0,1
2,21.67,11.5,4,4,9,6,0.0,2,2,11,2,1,00000,0,1
2,28.50,3.04,4,4,15,5,2.54,2,2,1,1,1,00070,0,1
2,68.67,15.0,3,2,6,10,0.0,2,2,14,1,1,00000,3376,1
3,28.00,2.0,3,2,10,5,4.165,2,2,2,2,1,00181,0,1
3,34.08,0.08,4,4,11,2,0.04,2,2,1,2,1,00280,2000,1
3,27.67,2.0,3,2,15,5,1.0,2,2,4,1,1,00140,7544,1
3,44.00,2.0,3,2,11,9,1.75,2,2,2,2,1,00000,15,1
3,25.08,1.71,3,2,15,9,1.665,2,2,1,2,1,00395,20,1
3,32.00,1.75,4,4,6,5,0.04,2,1,0,2,1,00393,0,1
2,60.58,16.5,3,2,12,9,11.0,2,1,0,2,1,00021,10561,1
2,40.83,10.0,3,2,12,5,1.75,2,1,0,1,1,00029,837,1
3,19.33,9.5,3,2,12,9,1.0,2,1,0,2,1,00060,400,1
2,32.33,0.54,3,2,4,9,0.04,2,1,0,1,1,00440,11177,1
3,36.67,3.25,3,2,12,5,9.0,2,1,0,2,1,00102,639,1
3,37.50,1.125,4,4,5,9,1.5,1,1,0,2,1,00431,0,1
2,25.08,2.54,4,4,2,9,0.25,2,1,0,2,1,00370,0,1
3,41.33,0.0,3,2,3,2,15.0,2,1,0,1,1,00000,0,1
3,56.00,12.5,3,2,10,5,8.0,2,1,0,2,1,00024,2028,1
2,49.83,13.585,3,2,10,5,8.5,2,1,0,2,1,00000,0,1
3,22.67,10.5,3,2,12,5,1.335,2,1,0,1,1,00100,0,1
3,27.00,1.5,4,4,14,9,0.375,2,1,0,2,1,00260,1065,1
3,25.00,12.5,3,2,2,9,3.0,2,1,0,2,3,00020,0,1
2,26.08,8.665,3,2,2,9,1.415,2,1,0,1,1,00160,150,1
2,18.42,9.25,3,2,12,9,1.21,2,2,4,1,1,00060,540,1
3,20.17,8.17,3,2,2,9,1.96,2,2,14,1,1,00060,158,1
3,47.67,0.29,3,2,3,2,15.0,2,2,20,1,1,00000,15000,1
2,21.25,2.335,3,2,8,2,0.5,2,2,4,1,3,00080,0,1
2,20.67,3.0,3,2,12,9,0.165,2,2,3,1,1,00100,6,1
2,57.08,19.5,3,2,3,9,5.5,2,2,7,1,1,00000,3000,1
2,22.42,5.665,3,2,12,9,2.585,2,2,7,1,1,00129,3257,1
3,48.75,8.5,3,2,3,5,12.5,2,2,9,1,1,00181,1655,1
3,40.00,6.5,3,2,2,2,3.5,2,2,1,1,1,00000,500,1
3,40.58,5.0,3,2,3,9,5.0,2,2,7,1,1,00000,3065,1
2,28.67,1.04,3,2,3,9,2.5,2,2,5,2,1,00300,1430,1
2,33.08,4.625,3,2,12,5,1.625,2,2,2,1,1,00000,0,1
3,21.33,10.5,3,2,3,9,3.0,2,1,0,2,1,00000,0,1
3,42.00,0.205,3,2,8,5,5.125,2,1,0,1,1,00400,0,1
3,41.75,0.96,3,2,15,9,2.5,2,1,0,1,1,00510,600,1
3,22.67,1.585,4,4,14,9,3.085,2,2,6,1,1,00080,0,1
3,34.50,4.04,4,4,8,2,8.5,2,2,7,2,1,00195,0,1
3,28.25,5.04,4,4,3,2,1.5,2,2,8,2,1,00144,7,1
3,33.17,3.165,4,4,15,9,3.165,2,2,3,2,1,00380,0,1
3,48.17,7.625,3,2,14,5,15.5,2,2,12,1,1,00000,790,1
3,27.58,2.04,4,4,2,9,2.0,2,2,3,2,1,00370,560,1
3,22.58,10.04,3,2,15,9,0.04,2,2,9,1,1,00060,396,1
2,24.08,0.5,3,2,12,5,1.25,2,2,1,1,1,00000,678,1
2,41.33,1.0,3,2,8,2,2.25,2,1,0,2,1,00000,300,1
3,24.83,2.75,3,2,3,9,2.25,2,2,6,1,1,0,600,1
2,20.75,10.25,3,2,12,9,0.71,2,2,2,2,1,00049,0,1
3,36.33,2.125,4,4,14,9,0.085,2,2,1,1,1,00050,1187,1
2,35.42,12.0,3,2,12,5,14.0,2,2,8,1,1,00000,6590,1
2,71.58,0.0,1,1,1,1,0.0,1,1,0,1,2,0,0,1
3,28.67,9.335,3,2,12,5,5.665,2,2,6,1,1,00381,168,1
3,35.17,2.5,3,2,10,9,4.5,2,2,7,1,1,00150,1270,1
3,39.50,4.25,3,2,3,2,6.5,2,2,16,1,1,00117,1210,1
3,39.33,5.875,3,2,4,5,10.0,2,2,14,2,1,00399,0,1
3,24.33,6.625,4,4,5,9,5.5,2,1,0,2,3,00100,0,1
3,60.08,14.5,3,2,7,4,18.0,2,2,15,2,1,00000,1000,1
3,23.08,11.5,3,2,8,9,3.5,2,2,9,1,1,00056,742,1
3,26.67,2.71,4,4,4,9,5.25,2,2,1,1,1,00211,0,1
3,48.17,3.5,3,2,2,9,3.5,2,1,0,1,3,00230,0,1
3,41.17,4.04,3,2,4,5,7.0,2,2,8,1,1,00320,0,1
3,55.92,11.5,3,2,7,4,5.0,2,2,5,1,1,00000,8851,1
3,53.92,9.625,3,2,6,9,8.665,2,2,5,1,1,00000,0,1
2,18.92,9.25,4,4,3,9,1.0,2,2,4,2,1,00080,500,1
2,50.08,12.54,3,2,2,9,2.29,2,2,3,2,1,00156,0,1
3,65.42,11.0,3,2,6,10,20.0,2,2,7,2,1,00022,0,1
2,17.58,9.0,3,2,2,9,1.375,2,1,0,2,1,00000,0,1
2,18.83,9.54,3,2,2,9,0.085,2,1,0,1,1,00100,0,1
2,37.75,5.5,3,2,12,9,0.125,2,1,0,2,1,00228,0,1
3,23.25,4.0,3,2,3,2,0.25,2,1,0,2,1,00160,0,1
3,18.08,5.5,3,2,10,9,0.5,2,1,0,1,1,00080,0,1
2,22.50,8.46,4,4,15,9,2.46,1,1,0,1,1,00164,0,1
3,19.67,0.375,3,2,12,9,2.0,2,2,2,2,1,00080,0,1
3,22.08,11.0,3,2,4,9,0.665,2,1,0,1,1,00100,0,1
3,25.17,3.5,3,2,4,9,0.625,2,2,7,1,1,00000,7059,1
2,47.42,3.0,3,2,15,9,13.875,2,2,2,2,1,00519,1704,1
3,33.50,1.75,3,2,15,5,4.5,2,2,4,2,1,00253,857,1
3,27.67,13.75,3,2,14,9,5.75,2,1,0,2,1,00487,500,1
2,58.42,21.0,3,2,8,2,10.0,2,2,13,1,1,00000,6700,1
2,20.67,1.835,3,2,12,9,2.085,2,2,5,1,1,00220,2503,1
3,26.17,0.25,3,2,8,2,0.0,2,1,0,2,1,00000,0,1
3,21.33,7.5,3,2,2,9,1.415,2,2,1,1,1,00080,9800,1
3,42.83,4.625,3,2,12,9,4.58,2,1,0,1,3,00000,0,1
3,38.17,10.125,3,2,15,9,2.5,2,2,6,1,1,00520,196,1
3,20.50,10.0,4,4,3,9,2.5,2,1,0,1,3,00040,0,1
3,48.25,25.085,3,2,14,9,1.75,2,2,3,1,1,00120,14,1
3,28.33,5.0,3,2,14,9,11.0,2,1,0,2,1,00070,0,1
2,18.75,7.5,3,2,12,9,2.71,2,2,5,1,1,0,26726,1
3,18.50,2.0,3,2,8,9,1.5,2,2,2,1,1,00120,300,1
3,33.17,3.04,4,4,3,5,2.04,2,2,1,2,1,00180,18027,1
3,45.00,8.5,3,2,4,5,14.0,2,2,1,2,1,00088,2000,1
2,19.67,0.21,3,2,12,5,0.29,2,2,11,1,1,00080,99,1
1,24.50,12.75,3,2,3,2,4.75,2,2,2,1,1,00073,444,1
3,21.83,11.0,3,2,15,9,0.29,2,2,6,1,1,00121,0,1
3,40.25,21.5,3,2,6,10,20.0,2,2,11,1,1,00000,1200,1
3,41.42,5.0,3,2,12,5,5.0,2,2,6,2,1,00470,0,1
2,17.83,11.0,3,2,15,5,1.0,2,2,11,1,1,00000,3000,1
3,23.17,11.125,3,2,15,5,0.46,2,2,1,1,1,00100,0,1
3,0,0.625,3,2,10,9,0.25,1,1,0,1,1,00380,2010,2
3,18.17,10.25,3,2,3,5,1.085,1,1,0,1,1,00320,13,2
3,20.00,11.045,3,2,3,9,2.0,1,1,0,2,1,00136,0,2
3,20.00,0.0,3,2,5,9,0.5,1,1,0,1,1,00144,0,2
2,20.75,9.54,3,2,8,9,0.04,1,1,0,1,1,00200,1000,2
2,24.50,1.75,4,4,3,9,0.165,1,1,0,1,1,00132,0,2
3,32.75,2.335,3,2,5,5,5.75,1,1,0,2,1,00292,0,2
2,52.17,0.0,4,4,7,4,0.0,1,1,0,1,1,00000,0,2
2,48.17,1.335,3,2,8,8,0.335,1,1,0,1,1,00000,120,2
2,20.42,10.5,4,4,15,5,0.0,1,1,0,2,1,00154,32,2
3,50.75,0.585,3,2,7,4,0.0,1,1,0,1,1,00145,0,2
3,17.08,0.085,4,4,3,9,0.04,1,1,0,1,1,00140,722,2
3,18.33,1.21,4,4,6,3,0.0,1,1,0,1,1,00100,0,2
2,32.00,6.0,3,2,5,9,1.25,1,1,0,1,1,00272,0,2
3,59.67,1.54,3,2,12,9,0.125,2,1,0,2,1,00260,0,1
3,18.00,0.165,3,2,12,7,0.21,1,1,0,1,1,00200,40,1
3,37.58,0.0,1,1,1,1,0.0,1,1,0,1,2,0,0,1
3,32.33,2.5,3,2,3,9,1.25,1,1,0,2,1,00280,0,2
3,18.08,6.75,4,4,11,9,0.04,1,1,0,1,1,00140,0,2
3,38.25,10.125,4,4,10,9,0.125,1,1,0,1,1,00160,0,2
3,30.67,2.5,3,2,4,5,2.25,1,1,0,2,3,00340,0,2
3,18.58,5.71,3,2,5,9,0.54,1,1,0,1,1,00120,0,2
2,19.17,5.415,3,2,8,5,0.29,1,1,0,1,1,00080,484,2
2,18.17,10.0,4,4,12,5,0.165,1,1,0,1,1,00340,0,2
3,24.58,13.5,4,4,7,4,0.0,1,1,0,1,1,0,0,2
3,16.25,0.835,3,2,11,9,0.085,2,1,0,1,3,00200,0,2
3,21.17,0.875,4,4,3,5,0.25,1,1,0,1,1,00280,204,2
3,23.92,0.585,4,4,4,5,0.125,1,1,0,1,1,00240,1,2
3,17.67,4.46,3,2,3,9,0.25,1,1,0,1,3,00080,0,2
2,16.50,1.25,3,2,12,9,0.25,1,2,1,1,1,00108,98,2
3,23.25,12.625,3,2,3,9,0.125,1,2,2,1,1,00000,5552,2
3,17.58,10.0,3,2,14,5,0.165,1,2,1,1,1,00120,1,2
2,0,1.5,3,2,7,4,0.0,1,2,2,2,1,00200,105,2
3,29.50,0.58,3,2,14,9,0.29,1,2,1,1,1,00340,2803,2
3,18.83,0.415,4,4,3,9,0.165,1,2,1,1,1,00200,1,2
2,21.75,1.75,4,4,9,6,0.0,1,1,0,1,1,00160,0,2
3,23.00,0.75,3,2,11,9,0.5,1,1,0,2,3,00320,0,2
2,18.25,10.0,3,2,14,9,1.0,1,2,1,1,1,00120,1,2
3,25.42,0.54,3,2,14,9,0.165,1,2,1,1,1,00272,444,2
3,35.75,2.415,3,2,14,9,0.125,1,2,2,1,1,00220,1,2
2,16.08,0.335,3,2,7,4,0.0,1,2,1,1,1,00160,126,2
2,31.92,3.125,3,2,7,4,3.04,1,2,2,2,1,00200,4,2
3,69.17,9.0,3,2,7,4,4.0,1,2,1,1,1,00070,6,2
3,32.92,2.5,3,2,2,9,1.75,1,2,2,2,1,00720,0,2
3,16.33,2.75,3,2,2,9,0.665,1,2,1,1,1,00080,21,2
3,22.17,12.125,3,2,3,9,3.335,1,2,2,2,1,00180,173,2
2,57.58,2.0,3,2,7,4,6.5,1,2,1,1,1,00000,10,2
3,18.25,0.165,3,2,5,9,0.25,1,1,0,2,3,00280,0,2
3,23.42,1.0,3,2,3,9,0.5,1,1,0,2,3,00280,0,2
2,15.92,2.875,3,2,12,9,0.085,1,1,0,1,1,00120,0,2
2,24.75,13.665,3,2,12,5,1.5,1,1,0,1,1,00280,1,2
3,48.75,26.335,4,4,7,4,0.0,2,1,0,2,1,00000,0,2
3,23.50,2.75,3,2,7,4,4.5,1,1,0,1,1,00160,25,2
3,18.58,10.29,3,2,7,4,0.415,1,1,0,1,1,00080,0,2
3,27.75,1.29,3,2,10,5,0.25,1,1,0,2,3,00140,0,2
2,31.75,3.0,4,4,9,6,0.0,1,1,0,1,1,00160,20,2
2,24.83,4.5,3,2,14,9,1.0,1,1,0,2,1,00360,6,2
3,19.00,1.75,4,4,3,9,2.335,1,1,0,2,1,00112,6,2
2,16.33,0.21,3,2,2,9,0.125,1,1,0,1,1,00200,1,2
2,18.58,10.0,3,2,5,9,0.415,1,1,0,1,1,00080,42,2
3,16.25,0.0,4,4,2,9,0.25,1,1,0,1,1,00060,0,2
3,23.00,0.75,3,2,11,9,0.5,2,1,0,2,3,00320,0,2
3,21.17,0.25,4,4,3,5,0.25,1,1,0,1,1,00280,204,2
3,17.50,22.0,2,3,7,8,0.0,1,1,0,2,2,00450,100000,1
3,19.17,0.0,4,4,11,2,0.0,1,1,0,2,3,00500,1,1
3,36.75,0.125,4,4,3,9,1.5,1,1,0,2,1,00232,113,1
3,21.25,1.5,3,2,14,9,1.5,1,1,0,1,1,00150,8,1
2,18.08,0.375,2,3,4,4,10.0,1,1,0,2,3,00300,0,1
2,33.67,0.375,3,2,4,9,0.375,1,1,0,1,1,00300,44,1
3,48.58,0.205,4,4,10,9,0.25,2,2,11,1,1,00380,2732,1
3,33.67,1.25,3,2,14,9,1.165,1,1,0,1,1,00120,0,2
2,29.50,1.085,4,4,15,9,1.0,1,1,0,1,1,00280,13,2
3,30.17,1.085,4,4,3,9,0.04,1,1,0,1,1,00170,179,2
1,40.83,3.5,3,2,8,2,0.5,1,1,0,1,3,01160,0,2
3,34.83,2.5,4,4,14,9,3.0,1,1,0,1,3,00200,0,2
3,0,4.0,4,4,8,9,0.085,1,1,0,2,1,00411,0,2
3,20.42,0.0,1,1,1,1,0.0,1,1,0,1,2,0,0,2
2,33.25,2.5,4,4,3,9,2.5,1,1,0,2,1,00000,2,2
3,34.08,2.5,3,2,3,9,1.0,1,1,0,1,1,00460,16,2
2,25.25,12.5,3,2,5,9,1.0,1,1,0,2,1,00180,1062,2
3,34.75,2.5,3,2,4,2,0.5,1,1,0,1,1,00348,0,2
3,27.67,0.75,3,2,12,5,0.165,1,1,0,2,1,00220,251,2
3,47.33,6.5,3,2,3,9,1.0,1,1,0,2,1,00000,228,2
2,34.83,1.25,4,4,8,5,0.5,1,1,0,2,1,00160,0,2
2,33.25,3.0,4,4,2,9,2.0,1,1,0,1,1,00180,0,2
3,28.00,3.0,3,2,14,9,0.75,1,1,0,2,1,00300,67,2
2,39.08,4.0,3,2,3,9,3.0,1,1,0,1,1,00480,0,2
3,42.75,4.085,3,2,2,9,0.04,1,1,0,1,1,00108,100,2
3,26.92,2.25,3,2,8,2,0.5,1,1,0,2,1,00640,4000,2
3,33.75,2.75,3,2,8,2,0.0,1,1,0,1,1,00180,0,2
3,38.92,1.75,3,2,10,9,0.5,1,1,0,2,1,00300,2,2
3,62.75,7.0,3,2,6,10,0.0,1,1,0,1,1,00000,12,2
1,32.25,1.5,3,2,3,9,0.25,1,1,0,2,1,00372,122,2
3,26.75,4.5,4,4,3,2,2.5,1,1,0,1,1,00200,1210,2
3,63.33,0.54,3,2,3,9,0.585,2,2,3,2,1,00180,0,2
3,27.83,1.5,3,2,14,9,2.25,1,2,1,2,1,00100,3,2
2,26.17,2.0,3,2,9,6,0.0,1,1,0,2,1,00276,1,2
3,22.17,0.585,4,4,7,4,0.0,1,1,0,1,1,00100,0,2
3,22.50,11.5,4,4,11,9,1.5,1,1,0,2,1,00000,4000,2
3,30.75,1.585,3,2,5,9,0.585,1,1,0,2,3,00000,0,2
