48842,14,,,,,,,,,,,,,
age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,incomes
71,7,494223,16,10,6,13,5,3,2,0,1816,2,40,1
29,5,191535,12,9,1,4,2,5,2,0,0,60,40,1
42,5,228456,10,13,6,9,3,3,2,0,0,50,40,1
68,1,38317,4,2,1,1,2,5,1,0,0,20,40,1
25,5,252752,12,9,5,9,5,5,1,0,0,40,40,1
44,6,78374,13,14,1,5,5,2,1,0,0,40,40,1
28,5,88419,12,9,5,5,2,2,1,0,0,40,10,1
45,7,201080,13,14,3,13,1,5,2,0,0,40,40,2
36,5,207157,16,10,1,9,5,5,1,0,0,40,27,1
39,2,235485,8,12,5,5,2,5,2,0,0,42,40,1
46,8,102628,13,14,7,12,5,5,2,0,0,40,40,1
18,5,25828,2,7,5,7,4,5,2,0,0,16,40,1
66,3,54826,9,11,7,11,2,5,1,0,0,20,40,1
27,5,124953,12,9,5,9,2,5,2,0,1980,40,40,1
28,8,175325,12,9,3,12,1,5,2,0,0,40,40,1
51,5,96062,16,10,3,13,1,5,2,0,1977,40,40,2
27,5,428030,10,13,5,4,2,5,2,0,0,50,40,1
28,8,149624,10,13,3,11,1,5,2,0,0,40,40,2
27,5,253814,12,9,4,13,5,5,1,0,0,25,40,1
21,5,312956,12,9,5,4,4,3,2,0,0,40,40,1
34,5,483777,12,9,5,7,2,3,2,0,0,40,40,1
18,5,183930,12,9,5,9,4,5,2,0,0,12,40,1
33,5,37274,10,13,3,11,1,5,2,0,0,65,40,1
44,3,181344,16,10,3,5,1,3,2,0,0,38,40,2
43,5,114580,16,10,1,2,2,5,1,0,0,40,40,1
30,5,633742,16,10,5,4,2,3,2,0,0,45,40,1
40,5,286370,6,4,3,8,1,5,2,0,0,40,27,2
37,2,29054,16,10,3,2,1,5,2,0,0,42,40,2
34,5,304030,12,9,3,2,1,3,2,0,0,40,40,1
41,7,143129,10,13,1,5,2,5,1,0,0,40,40,1
53,1,135105,10,13,1,1,2,5,1,0,0,50,40,1
31,5,99928,13,14,3,11,6,5,1,0,0,50,40,1
58,8,109567,11,16,3,11,1,5,2,0,0,1,40,2
38,5,155222,16,10,1,8,2,3,1,0,0,28,40,1
24,5,159567,16,10,3,8,1,5,2,0,0,40,40,1
41,3,523910,10,13,3,4,1,3,2,0,0,40,40,1
47,5,120939,16,10,3,14,1,5,2,0,0,45,40,1
41,2,130760,10,13,3,14,1,5,2,0,0,24,40,1
23,5,197387,5,3,3,15,3,5,2,0,0,40,27,1
36,5,99374,16,10,1,4,2,5,2,0,0,40,40,1
40,2,56795,13,14,5,5,2,5,1,14084,0,55,40,2
35,5,138992,13,14,3,11,3,5,2,7298,0,40,40,2
24,7,32921,12,9,5,13,2,5,2,0,0,40,40,1
26,5,397317,13,14,5,11,2,5,1,0,1876,40,40,1
19,1,170653,12,9,5,1,4,5,2,0,0,40,23,1
51,5,259323,10,13,3,5,1,5,2,0,0,50,40,2
42,3,254817,16,10,5,11,2,5,1,0,1340,40,40,1
37,8,48211,12,9,1,2,5,5,1,0,0,35,40,1
18,5,140164,2,7,5,13,4,5,1,0,0,40,40,1
36,5,128757,10,13,3,9,1,3,2,7298,0,36,40,2
35,5,36270,12,9,1,4,2,5,2,0,0,60,40,1
58,6,210563,12,9,3,13,6,5,1,15024,0,35,40,2
17,5,65368,2,7,5,13,4,5,1,0,0,12,40,1
44,3,160943,12,9,3,15,1,3,2,0,0,40,40,1
37,5,208358,12,9,3,4,1,5,2,0,0,40,40,2
35,5,153790,16,10,5,13,2,1,1,0,0,40,40,1
60,5,85815,12,9,3,4,1,2,2,0,0,40,40,1
54,6,125417,6,4,3,8,1,5,2,0,0,40,40,2
37,5,635913,10,13,5,5,2,3,2,0,0,60,40,2
50,5,313321,8,12,1,13,2,5,1,0,0,40,40,1
38,5,182609,10,13,3,13,1,5,2,0,0,50,32,1
45,5,109434,10,13,3,11,1,5,2,0,0,55,40,1
25,5,255004,1,6,5,4,2,5,2,0,0,40,40,1
31,5,197860,16,10,3,7,1,5,2,0,0,40,40,1
64,1,187656,4,2,1,1,2,5,2,0,0,40,40,1
90,5,51744,12,9,5,9,2,3,2,0,2206,40,40,1
54,5,176681,12,9,3,2,1,3,2,0,0,20,40,1
53,3,140359,14,1,5,8,2,5,1,0,0,35,40,1
18,5,243313,12,9,5,13,4,5,1,0,0,40,40,1
60,1,24215,1,6,1,1,2,1,1,0,0,10,40,1
66,7,167687,12,9,3,6,1,5,2,1409,0,50,40,1
75,5,314209,9,11,7,2,2,5,1,0,0,20,5,1
65,5,176796,12,9,1,2,2,5,1,0,0,40,40,1
35,5,538583,2,7,6,15,2,3,2,3674,0,40,40,1
41,5,130408,12,9,1,13,5,3,1,0,0,38,40,1
25,5,159732,16,10,5,2,2,5,2,0,0,42,40,1
33,5,110978,16,10,1,4,3,4,1,0,0,40,40,1
28,5,76714,15,15,5,11,2,5,2,0,0,55,40,2
59,8,268700,12,9,3,9,1,5,2,0,0,40,40,1
40,8,170525,16,10,5,2,2,5,1,0,0,38,40,1
41,5,180138,10,13,3,5,1,5,2,0,0,50,21,2
38,3,115076,13,14,3,5,1,5,2,0,0,70,40,2
23,5,115458,12,9,5,15,4,5,2,0,0,40,40,1
40,5,347890,10,13,3,11,1,5,2,0,0,40,40,2
41,7,196001,12,9,3,9,6,5,1,0,0,20,40,1
24,8,273905,8,12,3,12,1,5,2,0,0,50,40,1
20,1,119156,16,10,5,1,4,5,2,0,0,20,40,1
38,5,179488,16,10,1,4,2,5,2,0,1741,40,40,1
56,5,203580,12,9,3,2,1,5,2,0,0,35,1,1
58,5,236596,12,9,3,2,1,5,2,0,0,45,40,2
32,5,183916,12,9,5,9,2,5,1,0,0,34,40,1
40,5,207578,8,12,3,14,1,5,2,0,1977,60,40,2
45,5,153141,12,9,3,2,1,5,2,0,0,40,1,1
41,5,112763,15,15,3,11,6,5,1,0,0,40,40,2
42,5,390781,10,13,3,2,6,3,1,0,0,40,40,1
59,3,171328,1,6,7,9,5,3,1,0,0,30,40,1
19,3,27382,16,10,5,2,4,5,2,0,0,40,40,1
58,5,259014,16,10,5,15,2,5,2,0,0,20,40,1
42,7,303044,12,9,3,6,1,2,2,0,0,40,2,2
20,5,117789,12,9,5,9,4,5,1,0,0,40,40,1
32,5,172579,12,9,6,9,2,5,1,0,0,30,40,1
45,5,187666,9,11,7,5,2,5,1,0,0,45,40,1
50,5,204518,6,4,1,4,2,5,2,0,0,40,40,1
36,5,150042,10,13,1,11,4,5,1,0,0,40,40,1
45,5,98092,12,9,3,13,1,5,2,0,0,60,40,1
17,5,245918,2,7,5,9,4,5,2,0,0,12,40,1
59,5,146013,16,10,3,13,1,5,2,4064,0,40,40,1
26,5,378322,2,7,3,4,1,5,2,0,0,40,40,1
37,6,257295,16,10,3,5,1,2,2,0,0,75,38,2
19,1,218956,16,10,5,1,4,5,2,0,0,24,3,1
64,5,21174,12,9,3,5,1,5,2,0,0,40,40,2
33,5,185480,10,13,5,11,2,5,1,0,0,45,40,1
33,5,222205,12,9,3,4,6,5,1,0,0,40,40,2
61,5,69867,12,9,3,5,1,5,2,0,0,40,40,2
17,5,191260,7,5,5,9,4,5,2,1055,0,24,40,1
50,7,30653,13,14,3,6,1,5,2,2407,0,98,40,1
27,3,209109,13,14,5,11,4,5,2,0,0,35,40,1
30,5,70377,12,9,1,11,4,5,1,0,0,40,40,1
43,5,477983,12,9,3,7,1,3,2,0,0,40,40,1
44,5,170924,16,10,3,4,1,5,2,7298,0,40,40,2
35,5,190174,16,10,5,5,2,5,1,0,0,40,40,1
25,5,193787,16,10,5,14,4,5,1,0,0,40,40,1
24,5,279472,16,10,3,8,6,5,1,7298,0,48,40,2
22,5,34918,10,13,5,11,2,5,1,0,0,15,12,1
42,3,97688,16,10,3,4,1,5,2,5178,0,40,40,2
34,5,175413,8,12,1,13,5,3,1,0,0,45,40,1
60,5,173960,10,13,1,11,2,5,1,0,0,42,40,1
21,5,205759,12,9,5,7,4,5,2,0,0,40,40,1
57,2,425161,13,14,3,13,1,5,2,15024,0,40,40,2
41,5,220531,15,15,3,11,1,5,2,0,0,60,40,2
50,5,176609,16,10,1,9,2,5,2,0,0,45,40,1
25,5,371987,10,13,5,5,2,5,1,0,0,40,40,1
50,5,193884,6,4,3,4,1,5,2,0,0,40,8,1
36,5,200352,10,13,3,11,1,5,2,0,0,45,40,1
31,5,127595,12,9,1,11,2,5,1,0,0,40,40,1
29,3,220419,10,13,5,12,2,5,2,0,0,56,40,1
21,5,231931,16,10,5,13,4,5,2,0,0,45,40,1
27,5,248402,10,13,5,14,5,3,1,0,0,40,40,1
65,5,111095,12,9,3,15,1,5,2,0,0,16,40,1
37,6,57424,10,13,1,13,2,5,1,0,0,60,40,1
39,1,157443,13,14,3,1,6,2,1,3464,0,40,1,1
24,5,278130,12,9,5,4,4,5,2,0,0,40,40,1
38,5,169469,12,9,1,13,2,5,2,0,0,80,40,1
48,5,146268,10,13,3,2,1,5,2,7688,0,40,40,2
21,5,153718,16,10,5,9,2,2,1,0,0,25,40,1
31,5,217460,12,9,3,15,1,5,2,0,0,45,40,2
55,5,238638,12,9,3,13,1,5,2,4386,0,40,40,2
24,5,303296,16,10,3,2,6,2,1,0,0,40,26,1
43,5,173321,12,9,1,2,2,5,1,0,0,40,40,1
26,5,193945,8,12,5,14,2,5,2,0,0,45,40,1
46,5,83082,8,12,5,11,2,5,1,0,0,33,40,1
35,5,193815,8,12,3,2,1,5,2,0,0,40,40,2
41,6,34987,16,10,3,6,1,5,2,0,0,54,40,2
26,5,59306,10,13,5,13,2,5,2,0,0,40,40,1
34,5,142897,13,14,3,5,1,2,2,7298,0,35,37,2
19,1,860348,16,10,5,1,4,3,1,0,0,25,40,1
36,7,205607,10,13,1,11,2,3,1,0,0,40,40,2
22,5,199698,16,10,5,13,4,5,2,0,0,15,40,1
24,5,191954,16,10,5,8,2,5,2,0,0,40,40,1
77,7,138714,16,10,3,13,1,5,2,0,0,40,40,1
22,5,399087,5,3,3,8,3,5,1,0,0,40,27,1
29,5,423158,16,10,5,14,2,5,1,0,0,40,40,1
62,5,159841,12,9,7,9,2,5,1,0,0,24,40,1
39,7,174308,12,9,3,5,1,5,2,0,0,40,40,1
43,5,50356,16,10,3,4,1,5,2,0,1485,50,40,1
35,5,186110,12,9,1,15,2,5,2,0,0,45,40,1
29,5,200381,2,7,5,5,2,5,1,0,0,40,40,1
76,7,174309,13,14,3,4,1,5,2,0,0,10,40,1
63,7,78383,12,9,3,6,1,5,2,0,0,45,40,1
23,1,211601,9,11,5,1,4,3,1,0,0,15,40,1
43,5,187728,16,10,3,11,6,5,1,0,1887,50,40,2
58,7,321171,12,9,3,7,1,5,2,0,0,40,40,1
66,5,127921,12,9,5,15,2,5,2,2050,0,55,40,1
41,5,206565,16,10,5,4,2,3,2,0,0,45,40,1
26,5,224563,10,13,5,2,2,5,2,0,0,40,40,1
47,5,178686,9,11,5,9,2,5,2,0,0,40,40,1
55,3,98545,1,6,3,2,1,5,2,0,0,40,40,1
53,5,242606,12,9,3,15,1,5,2,0,0,40,40,1
17,5,270942,5,3,5,9,3,5,2,0,0,48,27,1
30,5,94235,12,9,5,4,3,5,2,0,0,40,40,1
49,5,71195,13,14,5,11,2,5,2,0,0,60,40,1
19,5,104112,12,9,5,13,5,3,2,0,0,30,15,1
45,5,261192,12,9,3,9,1,3,2,0,0,40,40,1
26,5,94936,8,12,5,13,2,5,2,0,0,40,40,1
38,5,296478,9,11,3,4,1,5,2,7298,0,40,40,2
36,8,119272,12,9,3,12,1,5,2,7298,0,40,40,2
33,5,85043,12,9,5,6,2,5,2,0,0,20,40,1
22,8,293364,16,10,5,12,4,3,1,0,0,40,40,1
43,7,241895,10,13,5,13,2,5,2,0,0,42,40,1
67,1,36135,2,7,3,1,1,5,2,0,0,8,40,1
30,1,151989,9,11,1,1,5,5,1,0,0,40,40,1
56,5,101128,8,12,4,9,2,5,2,0,0,25,21,1
31,5,156464,10,13,5,11,4,5,2,0,0,25,40,1
33,5,117963,10,13,3,5,1,5,2,0,0,40,40,2
26,5,192262,12,9,3,9,1,5,2,0,0,40,40,1
33,5,111363,10,13,3,5,1,5,2,0,0,40,40,2
46,3,329752,2,7,3,15,1,5,2,0,0,30,40,1
59,1,372020,10,13,3,1,1,5,2,0,0,40,40,2
38,2,95432,12,9,3,2,1,5,2,0,0,40,40,2
65,5,161400,2,7,7,9,5,4,2,0,0,40,40,1
40,5,96129,9,11,3,14,1,5,2,0,0,40,40,2
42,5,111949,12,9,3,2,6,5,1,0,0,35,40,1
26,7,117125,7,5,3,4,1,5,2,0,0,40,33,1
36,5,348022,1,6,3,9,6,5,1,0,0,24,40,1
62,5,270092,13,14,3,11,1,5,2,0,0,40,40,2
43,5,180609,10,13,3,15,1,5,2,0,0,45,40,1
43,5,174575,10,13,1,5,2,5,2,0,1564,45,40,2
22,5,410439,12,9,4,13,2,5,2,0,0,55,40,1
28,5,92262,12,9,3,4,1,5,2,0,0,40,40,1
56,7,183081,16,10,3,13,1,5,2,0,0,45,40,1
22,5,362589,8,12,5,13,2,5,1,0,0,15,40,1
57,5,212448,10,13,1,5,2,5,1,0,0,45,40,2
39,5,481060,12,9,1,13,5,5,1,0,0,40,40,1
26,2,185885,16,10,5,2,5,5,1,0,0,15,40,1
17,5,89821,2,7,5,9,4,5,2,0,0,10,40,1
40,8,184018,9,11,3,8,1,5,2,0,0,38,40,2
45,5,256649,12,9,3,8,1,3,2,0,0,40,40,1
44,5,160323,12,9,5,4,2,3,2,0,0,40,40,1
20,3,350845,16,10,5,2,4,5,1,0,0,10,40,1
33,5,267404,12,9,3,4,6,5,1,0,0,40,40,1
23,5,35633,16,10,5,13,2,5,2,0,0,40,40,1
46,7,80914,13,14,1,5,2,5,2,0,0,30,40,1
38,5,172927,12,9,3,13,1,5,2,0,0,50,40,1
54,5,174319,12,9,1,15,2,5,2,0,0,40,40,1
46,5,214955,5,3,1,4,2,5,1,0,2339,45,40,1
25,5,344991,16,10,3,4,1,5,2,0,0,40,40,1
46,5,108699,16,10,1,13,2,5,1,0,0,40,40,1
36,3,117312,16,10,3,15,6,5,1,0,0,40,40,1
23,5,396099,12,9,5,9,2,5,1,0,0,25,40,1
29,5,134152,12,9,6,8,2,5,2,0,0,40,40,1
44,5,162028,16,10,3,2,6,5,1,0,2415,6,40,2
19,5,25429,16,10,5,2,4,5,1,0,0,16,40,1
19,5,232392,12,9,5,9,3,5,1,0,0,40,40,1
35,5,220098,12,9,3,9,6,5,1,0,0,40,40,2
27,5,301302,10,13,5,4,2,5,2,0,0,50,40,1
46,7,277946,8,12,6,4,2,5,2,0,0,40,40,1
34,8,98101,10,13,3,5,1,5,2,7688,0,45,1,2
34,5,196164,12,9,5,9,2,5,1,0,0,35,40,1
44,5,115562,16,10,3,14,1,5,2,0,0,40,40,1
45,5,96975,16,10,1,7,5,5,1,0,0,40,40,1
20,1,137300,12,9,5,1,3,5,1,0,0,35,40,1
25,5,86872,10,13,3,5,1,5,2,0,0,55,40,2
52,6,132178,10,13,3,5,1,5,2,0,0,50,40,2
20,5,416103,16,10,5,7,4,5,2,0,0,40,40,1
28,5,108574,16,10,5,9,2,5,1,0,0,40,40,1
50,8,288353,10,13,3,12,1,5,2,0,0,40,40,2
34,5,227689,9,11,1,14,2,5,1,0,0,64,40,1
28,5,166481,6,4,3,7,1,4,2,0,2179,40,34,1
41,5,445382,13,14,3,5,1,5,2,0,1977,65,40,2
28,5,110145,12,9,3,2,1,5,2,0,0,40,40,1
46,7,317253,12,9,3,4,1,5,2,0,0,25,40,1
28,1,123147,16,10,3,1,6,5,1,0,1887,40,40,2
32,5,364657,16,10,3,5,1,5,2,0,0,50,40,1
41,3,42346,16,10,1,9,2,3,1,0,0,24,40,1
24,5,241951,12,9,5,7,5,3,1,0,0,40,40,1
33,5,118500,16,10,1,5,5,5,1,0,0,40,40,1
46,5,188386,11,16,3,5,1,5,2,15024,0,60,40,2
31,8,1033222,16,10,3,8,1,5,2,0,0,40,40,1
35,5,92440,3,8,1,4,2,5,2,0,0,50,40,2
52,5,190762,4,2,3,8,1,5,2,0,0,40,27,1
30,5,426017,2,7,5,9,4,5,1,0,0,19,40,1
34,3,243867,2,7,6,8,2,3,2,0,0,40,40,1
34,8,240283,12,9,1,15,5,5,1,0,0,40,40,1
20,5,61777,16,10,3,13,1,5,2,0,0,30,40,1
17,5,175024,2,7,5,7,4,5,2,2176,0,18,40,1
32,8,92003,10,13,3,5,6,5,1,0,0,40,40,2
29,5,188401,12,9,1,6,2,5,2,0,0,40,40,1
33,5,228528,1,6,5,4,5,5,1,0,0,35,40,1
25,5,133373,12,9,3,15,1,5,2,0,0,60,40,1
36,2,255191,13,14,5,11,2,5,2,0,1408,40,40,1
23,5,204653,12,9,5,7,2,5,2,0,0,72,7,1
63,6,222289,12,9,3,5,1,5,2,0,0,40,40,2
47,3,287480,13,14,3,11,1,5,2,0,0,40,40,1
80,1,107762,12,9,7,1,2,5,2,0,0,24,40,1
17,1,202521,2,7,5,1,4,5,2,0,0,40,40,1
40,7,204116,10,13,4,11,2,5,1,2174,0,40,40,1
30,5,29662,8,12,3,9,6,5,1,0,0,25,40,2
27,5,116358,16,10,5,4,4,2,2,0,1980,40,31,1
33,5,208405,13,14,3,11,1,5,2,0,0,50,40,2
34,3,284843,12,9,5,6,2,3,2,594,0,60,40,1
34,3,117018,16,10,5,12,2,5,1,0,0,40,40,1
23,5,81281,16,10,3,2,1,5,2,0,0,40,40,1
42,3,340148,16,10,3,2,6,5,1,0,0,40,40,1
29,5,363425,10,13,5,11,2,5,2,0,0,40,40,1
45,5,45857,12,9,1,2,2,5,1,0,0,28,40,1
24,2,191073,12,9,5,3,4,5,2,0,0,40,40,1
44,5,116632,16,10,3,11,1,5,2,0,0,40,40,2
