48842,14,,,,,,,,,,,,,,
A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15
54,1,1.8021e+05,16,10,3,1,1,2,2,0,0,60,36,1
39,5,3.6726e+05,12,9,1,5,2,5,2,0,0,80,40,0
49,5,1.9337e+05,12,9,3,4,1,5,2,0,0,40,40,0
23,3,1.9071e+05,8,12,5,12,2,5,2,0,0,52,40,0
20,5,2.6602e+05,16,10,5,13,4,3,2,0,0,44,40,0
45,5,3.8694e+05,10,13,1,5,4,5,2,0,1408,40,40,0
30,2,59951,16,10,3,2,4,5,2,0,0,40,40,0
22,8,3.1151e+05,16,10,3,9,1,3,2,0,0,15,40,0
48,5,2.4241e+05,2,7,5,8,5,5,2,0,0,40,34,0
21,5,1.972e+05,16,10,5,8,4,5,2,0,0,40,40,0
19,5,5.4409e+05,12,9,2,2,6,5,1,0,0,25,40,0
31,5,84154,16,10,3,13,1,5,2,0,0,38,1,1
48,7,2.6548e+05,8,12,3,11,1,5,2,0,0,40,40,0
31,5,5.0788e+05,7,5,3,8,1,5,2,0,0,43,40,0
53,7,88506,10,13,3,11,1,5,2,0,0,40,40,0
24,5,1.7299e+05,10,13,3,14,1,5,2,0,0,50,40,0
49,5,94638,12,9,6,2,5,5,1,0,0,40,40,0
25,5,2.8998e+05,12,9,5,7,2,5,2,0,0,35,40,0
57,2,3.379e+05,10,13,3,11,1,3,2,0,0,40,40,1
53,5,1.4436e+05,12,9,3,8,1,5,2,0,0,38,40,0
44,5,1.2835e+05,13,14,1,5,5,5,1,0,0,40,40,0
41,8,1.016e+05,9,11,3,4,1,5,2,0,0,40,40,0
29,5,2.7147e+05,9,11,5,11,2,5,2,0,0,43,40,0
25,5,32275,16,10,3,5,6,4,1,0,0,40,40,0
18,5,2.2696e+05,12,9,5,9,4,5,1,0,0,30,1,0
47,5,51835,15,15,3,11,6,5,1,0,1902,60,17,1
50,2,2.5158e+05,10,13,1,5,2,5,2,0,0,55,40,1
47,6,1.0983e+05,12,9,1,5,2,5,2,0,0,60,40,0
43,5,2.3799e+05,16,10,3,14,1,5,2,0,0,40,40,1
46,5,2.1667e+05,5,3,3,8,1,5,2,0,0,40,27,0
35,5,56352,9,11,3,9,1,5,2,0,0,40,34,0
41,5,1.4737e+05,12,9,3,2,1,5,2,0,0,48,40,0
30,5,1.8815e+05,12,9,3,8,1,5,2,5013,0,40,40,0
30,5,59496,10,13,3,13,1,5,2,2407,0,40,40,0
32,1,2.9394e+05,6,4,4,1,2,5,2,0,0,40,1,0
48,5,1.4964e+05,12,9,3,15,1,5,2,0,0,40,40,0
42,5,1.1663e+05,11,16,3,11,1,5,2,0,0,45,40,1
29,5,1.056e+05,16,10,1,14,2,5,2,0,0,58,40,0
36,5,1.5554e+05,12,9,3,4,1,5,2,0,0,40,40,0
28,5,1.8318e+05,16,10,1,2,2,5,1,0,0,40,40,0
53,5,1.6985e+05,12,9,3,2,6,5,1,0,0,40,40,1
49,6,1.9168e+05,16,10,3,5,1,5,2,0,0,50,40,1
25,1,2.0068e+05,16,10,5,1,4,5,2,0,0,40,40,0
19,5,1.0151e+05,16,10,5,11,4,5,2,0,0,32,40,0
31,5,3.0997e+05,10,13,6,13,4,3,1,0,0,40,40,0
29,7,1.623e+05,10,13,3,13,1,5,2,0,0,70,40,1
23,5,2.1168e+05,16,10,5,8,2,5,2,0,0,40,40,0
79,5,1.2474e+05,16,10,3,11,3,5,2,0,0,20,40,0
27,5,2.1392e+05,12,9,5,9,4,5,2,0,0,40,27,0
40,5,32214,8,12,3,2,1,5,2,0,0,40,40,0
67,1,2.1276e+05,1,6,3,1,1,5,2,0,0,2,40,0
18,5,3.0963e+05,2,7,5,9,4,5,1,0,0,22,40,0
31,3,1.2593e+05,6,4,3,6,1,5,2,0,0,40,40,0
18,5,4.4684e+05,12,9,5,13,2,5,2,0,0,30,40,0
52,5,2.7652e+05,10,13,3,9,1,5,2,0,0,40,6,0
46,5,51618,12,9,3,9,6,5,1,0,0,40,40,0
59,5,1.5994e+05,12,9,3,13,1,5,2,0,0,48,40,0
44,5,3.4359e+05,12,9,1,4,2,5,1,14344,0,40,40,1
53,5,3.4625e+05,12,9,1,13,4,5,1,0,0,35,40,0
49,3,2.6823e+05,12,9,3,12,1,5,2,0,0,40,40,1
33,5,2.0205e+05,13,14,3,11,1,5,2,0,0,50,40,0
30,5,54334,7,5,5,13,2,5,2,0,0,40,40,0
43,2,4.1087e+05,11,16,5,11,2,5,1,0,0,50,40,1
57,5,2.4998e+05,9,11,3,11,1,5,2,0,0,40,40,0
37,5,2.8673e+05,16,10,1,4,5,5,1,0,0,40,40,0
28,5,2.1256e+05,16,10,1,8,5,3,1,0,0,25,40,0
30,5,1.1775e+05,12,9,3,13,6,2,1,0,1573,35,1,0
34,3,2.263e+05,10,13,3,12,1,5,2,0,0,40,40,1
29,3,1.1558e+05,16,10,5,7,2,5,2,0,0,50,40,0
48,7,1.9128e+05,11,16,3,11,1,5,2,0,1902,60,40,1
37,5,2.0268e+05,16,10,3,13,1,5,2,0,0,48,40,1
48,5,1.711e+05,8,12,1,5,5,5,1,0,0,40,10,0
32,2,2.4941e+05,12,9,5,9,4,3,2,0,0,40,40,0
76,5,1.2419e+05,13,14,3,5,1,5,2,0,0,40,40,1
44,5,1.9828e+05,10,13,3,5,1,5,2,15024,0,60,40,1
47,7,1.4912e+05,13,14,5,11,2,5,1,0,0,50,40,0
20,5,1.883e+05,16,10,5,14,4,5,1,0,0,40,40,0
29,5,1.0343e+05,12,9,5,4,2,5,2,0,0,40,40,0
32,6,3.1766e+05,12,9,3,4,1,5,2,7688,0,40,40,1
17,1,3.0487e+05,1,6,5,1,4,5,1,34095,0,32,40,0
30,5,1.949e+05,2,7,5,7,4,5,2,0,0,40,40,0
31,3,1.8926e+05,12,9,5,2,2,5,1,0,0,40,40,0
42,5,1.2469e+05,12,9,3,7,1,5,2,0,0,40,40,0
24,5,4.3238e+05,10,13,5,13,3,5,2,0,0,40,40,0
38,5,65324,15,15,3,11,1,5,2,0,0,40,40,1
56,7,3.3560e+05,12,9,3,9,1,5,2,0,1887,50,3,1
28,5,3.7787e+05,16,10,3,13,6,5,1,4064,0,25,40,0
36,5,1.0286e+05,12,9,5,8,4,5,1,0,0,40,40,0
53,5,95647,7,5,3,7,1,5,2,0,0,50,40,0
56,6,3.0309e+05,16,10,3,13,1,5,2,0,0,50,40,0
49,3,1.9737e+05,9,11,3,4,1,3,2,0,0,40,40,1
55,5,2.4755e+05,16,10,3,13,1,5,2,0,0,56,40,0
22,5,1.0263e+05,12,9,5,4,2,5,2,0,0,41,40,0
21,5,1.9992e+05,16,10,5,9,4,5,1,0,0,40,40,0
40,5,1.1885e+05,10,13,3,5,1,5,2,0,0,60,40,0
30,5,77143,10,13,5,5,4,3,2,0,0,40,12,0
29,8,2.6799e+05,10,13,3,11,1,5,2,0,0,50,40,1
19,5,3.0161e+05,16,10,5,9,4,3,2,0,0,35,40,0
47,5,2.8783e+05,10,13,3,5,6,5,1,0,0,40,40,1
20,5,1.117e+05,16,10,5,2,4,5,1,0,1719,28,40,0
31,5,1.1494e+05,8,12,3,2,1,5,2,0,0,40,40,1
35,1,1.2930e+05,12,9,3,1,1,5,2,0,0,40,40,0
39,5,3.6574e+05,16,10,1,4,2,5,2,0,0,40,40,0
28,5,69621,8,12,5,13,2,5,1,0,0,60,40,0
24,5,43323,12,9,5,9,2,5,1,0,1762,40,40,0
38,7,1.2098e+05,12,9,3,4,1,5,2,4386,0,35,40,0
37,5,2.542e+05,10,13,3,13,1,5,2,0,0,50,40,0
46,5,1.462e+05,8,12,1,14,2,3,1,0,0,36,40,0
38,2,1.2593e+05,13,14,3,11,1,5,2,0,0,40,21,1
43,7,56920,12,9,3,4,1,5,2,0,0,60,40,0
27,5,1.6313e+05,9,11,3,2,6,5,1,0,0,35,40,0
20,5,34310,16,10,5,13,4,5,2,0,0,20,40,0
49,5,81973,16,10,3,4,1,2,2,0,0,40,40,1
61,6,66614,12,9,3,4,1,5,2,0,0,40,40,0
27,5,2.3278e+05,16,10,5,13,4,5,1,0,0,40,40,0
19,5,3.1687e+05,16,10,5,9,4,5,2,0,0,30,27,0
45,5,1.9658e+05,9,11,5,11,2,5,1,0,1564,40,40,1
70,5,1.0538e+05,16,10,5,14,3,5,2,0,0,40,40,0
31,5,1.8581e+05,12,9,5,15,5,3,1,0,0,30,40,0
22,5,1.7537e+05,16,10,3,9,1,5,2,0,0,24,40,0
36,5,1.0829e+05,12,9,7,9,5,5,1,0,0,24,40,0
64,5,1.8123e+05,2,7,3,4,1,5,2,0,2179,40,40,0
43,1,1.7466e+05,16,10,1,1,2,5,1,0,0,40,40,0
47,3,1.8601e+05,16,10,1,2,5,5,1,0,0,38,27,0
34,5,1.9818e+05,12,9,5,2,2,5,1,0,0,40,40,0
33,5,1.63e+05,10,13,5,5,3,2,1,0,0,40,31,0
21,5,2.9616e+05,12,9,5,4,4,5,2,0,0,35,40,0
52,1,2.529e+05,12,9,1,1,2,5,2,0,0,45,40,1
48,5,1.8772e+05,12,9,3,4,1,5,2,0,0,46,40,0
23,5,2.1454e+05,10,13,5,7,2,5,2,0,0,40,40,0
71,7,4.9422e+05,16,10,6,13,5,3,2,0,1816,2,40,0
29,5,1.9154e+05,12,9,1,4,2,5,2,0,0,60,40,0
42,5,2.2846e+05,10,13,6,9,3,3,2,0,0,50,40,0
68,1,38317,4,2,1,1,2,5,1,0,0,20,40,0
25,5,2.5275e+05,12,9,5,9,5,5,1,0,0,40,40,0
44,6,78374,13,14,1,5,5,2,1,0,0,40,40,0
28,5,88419,12,9,5,5,2,2,1,0,0,40,10,0
45,7,2.0108e+05,13,14,3,13,1,5,2,0,0,40,40,1
36,5,2.0716e+05,16,10,1,9,5,5,1,0,0,40,27,0
39,2,2.3548e+05,8,12,5,5,2,5,2,0,0,42,40,0
46,8,1.0263e+05,13,14,7,12,5,5,2,0,0,40,40,0
18,5,25828,2,7,5,7,4,5,2,0,0,16,40,0
66,3,54826,9,11,7,11,2,5,1,0,0,20,40,0
27,5,1.2495e+05,12,9,5,9,2,5,2,0,1980,40,40,0
28,8,1.7532e+05,12,9,3,12,1,5,2,0,0,40,40,0
51,5,96062,16,10,3,13,1,5,2,0,1977,40,40,1
27,5,4.2803e+05,10,13,5,4,2,5,2,0,0,50,40,0
28,8,1.4962e+05,10,13,3,11,1,5,2,0,0,40,40,1
27,5,2.5381e+05,12,9,4,13,5,5,1,0,0,25,40,0
21,5,3.1296e+05,12,9,5,4,4,3,2,0,0,40,40,0
34,5,4.8378e+05,12,9,5,7,2,3,2,0,0,40,40,0
18,5,1.8393e+05,12,9,5,9,4,5,2,0,0,12,40,0
33,5,37274,10,13,3,11,1,5,2,0,0,65,40,0
44,3,1.8134e+05,16,10,3,5,1,3,2,0,0,38,40,1
43,5,1.1458e+05,16,10,1,2,2,5,1,0,0,40,40,0
30,5,6.3374e+05,16,10,5,4,2,3,2,0,0,45,40,0
40,5,2.8637e+05,6,4,3,8,1,5,2,0,0,40,27,1
37,2,29054,16,10,3,2,1,5,2,0,0,42,40,1
34,5,3.0403e+05,12,9,3,2,1,3,2,0,0,40,40,0
41,7,1.4313e+05,10,13,1,5,2,5,1,0,0,40,40,0
53,1,1.3510e+05,10,13,1,1,2,5,1,0,0,50,40,0
31,5,99928,13,14,3,11,6,5,1,0,0,50,40,0
58,8,1.0957e+05,11,16,3,11,1,5,2,0,0,1,40,1
38,5,1.5522e+05,16,10,1,8,2,3,1,0,0,28,40,0
24,5,1.5957e+05,16,10,3,8,1,5,2,0,0,40,40,0
41,3,5.2391e+05,10,13,3,4,1,3,2,0,0,40,40,0
47,5,1.2094e+05,16,10,3,14,1,5,2,0,0,45,40,0
41,2,1.3076e+05,10,13,3,14,1,5,2,0,0,24,40,0
23,5,1.9739e+05,5,3,3,15,3,5,2,0,0,40,27,0
36,5,99374,16,10,1,4,2,5,2,0,0,40,40,0
40,2,56795,13,14,5,5,2,5,1,14084,0,55,40,1
35,5,1.3899e+05,13,14,3,11,3,5,2,7298,0,40,40,1
24,7,32921,12,9,5,13,2,5,2,0,0,40,40,0
26,5,3.9732e+05,13,14,5,11,2,5,1,0,1876,40,40,0
19,1,1.7065e+05,12,9,5,1,4,5,2,0,0,40,23,0
51,5,2.5932e+05,10,13,3,5,1,5,2,0,0,50,40,1
42,3,2.5482e+05,16,10,5,11,2,5,1,0,1340,40,40,0
37,8,48211,12,9,1,2,5,5,1,0,0,35,40,0
18,5,1.4016e+05,2,7,5,13,4,5,1,0,0,40,40,0
36,5,1.2876e+05,10,13,3,9,1,3,2,7298,0,36,40,1
35,5,36270,12,9,1,4,2,5,2,0,0,60,40,0
58,6,2.1056e+05,12,9,3,13,6,5,1,15024,0,35,40,1
17,5,65368,2,7,5,13,4,5,1,0,0,12,40,0
44,3,1.6094e+05,12,9,3,15,1,3,2,0,0,40,40,0
37,5,2.0836e+05,12,9,3,4,1,5,2,0,0,40,40,1
35,5,1.5379e+05,16,10,5,13,2,1,1,0,0,40,40,0
60,5,85815,12,9,3,4,1,2,2,0,0,40,40,0
54,6,1.2542e+05,6,4,3,8,1,5,2,0,0,40,40,1
37,5,6.3591e+05,10,13,5,5,2,3,2,0,0,60,40,1
50,5,3.1332e+05,8,12,1,13,2,5,1,0,0,40,40,0
38,5,1.8261e+05,10,13,3,13,1,5,2,0,0,50,32,0
45,5,1.0943e+05,10,13,3,11,1,5,2,0,0,55,40,0
25,5,2.55e+05,1,6,5,4,2,5,2,0,0,40,40,0
31,5,1.9786e+05,16,10,3,7,1,5,2,0,0,40,40,0
64,1,1.8766e+05,4,2,1,1,2,5,2,0,0,40,40,0
90,5,51744,12,9,5,9,2,3,2,0,2206,40,40,0
54,5,1.7668e+05,12,9,3,2,1,3,2,0,0,20,40,0
53,3,1.4036e+05,14,1,5,8,2,5,1,0,0,35,40,0
18,5,2.4331e+05,12,9,5,13,4,5,1,0,0,40,40,0
60,1,24215,1,6,1,1,2,1,1,0,0,10,40,0
66,7,1.6769e+05,12,9,3,6,1,5,2,1409,0,50,40,0
75,5,3.1421e+05,9,11,7,2,2,5,1,0,0,20,5,0
65,5,1.768e+05,12,9,1,2,2,5,1,0,0,40,40,0
35,5,5.3858e+05,2,7,6,15,2,3,2,3674,0,40,40,0
41,5,1.3041e+05,12,9,1,13,5,3,1,0,0,38,40,0
25,5,1.5973e+05,16,10,5,2,2,5,2,0,0,42,40,0
33,5,1.1098e+05,16,10,1,4,3,4,1,0,0,40,40,0
28,5,76714,15,15,5,11,2,5,2,0,0,55,40,1
59,8,2.687e+05,12,9,3,9,1,5,2,0,0,40,40,0
40,8,1.7052e+05,16,10,5,2,2,5,1,0,0,38,40,0
41,5,1.8014e+05,10,13,3,5,1,5,2,0,0,50,21,1
38,3,1.1508e+05,13,14,3,5,1,5,2,0,0,70,40,1
23,5,1.1546e+05,12,9,5,15,4,5,2,0,0,40,40,0
40,5,3.4789e+05,10,13,3,11,1,5,2,0,0,40,40,1
41,7,1.96e+05,12,9,3,9,6,5,1,0,0,20,40,0
24,8,2.7390e+05,8,12,3,12,1,5,2,0,0,50,40,0
20,1,1.1916e+05,16,10,5,1,4,5,2,0,0,20,40,0
38,5,1.7949e+05,16,10,1,4,2,5,2,0,1741,40,40,0
56,5,2.0358e+05,12,9,3,2,1,5,2,0,0,35,1,0
58,5,2.366e+05,12,9,3,2,1,5,2,0,0,45,40,1
32,5,1.8392e+05,12,9,5,9,2,5,1,0,0,34,40,0
40,5,2.0758e+05,8,12,3,14,1,5,2,0,1977,60,40,1
45,5,1.5314e+05,12,9,3,2,1,5,2,0,0,40,1,0
41,5,1.1276e+05,15,15,3,11,6,5,1,0,0,40,40,1
42,5,3.9078e+05,10,13,3,2,6,3,1,0,0,40,40,0
59,3,1.7133e+05,1,6,7,9,5,3,1,0,0,30,40,0
19,3,27382,16,10,5,2,4,5,2,0,0,40,40,0
58,5,2.5901e+05,16,10,5,15,2,5,2,0,0,20,40,0
42,7,3.0304e+05,12,9,3,6,1,2,2,0,0,40,2,1
20,5,1.1779e+05,12,9,5,9,4,5,1,0,0,40,40,0
32,5,1.7258e+05,12,9,6,9,2,5,1,0,0,30,40,0
45,5,1.8767e+05,9,11,7,5,2,5,1,0,0,45,40,0
50,5,2.0452e+05,6,4,1,4,2,5,2,0,0,40,40,0
36,5,1.5004e+05,10,13,1,11,4,5,1,0,0,40,40,0
45,5,98092,12,9,3,13,1,5,2,0,0,60,40,0
17,5,2.4592e+05,2,7,5,9,4,5,2,0,0,12,40,0
59,5,1.4601e+05,16,10,3,13,1,5,2,4064,0,40,40,0
26,5,3.7832e+05,2,7,3,4,1,5,2,0,0,40,40,0
37,6,2.573e+05,16,10,3,5,1,2,2,0,0,75,38,1
19,1,2.1896e+05,16,10,5,1,4,5,2,0,0,24,3,0
64,5,21174,12,9,3,5,1,5,2,0,0,40,40,1
33,5,1.8548e+05,10,13,5,11,2,5,1,0,0,45,40,0
33,5,2.2220e+05,12,9,3,4,6,5,1,0,0,40,40,1
61,5,69867,12,9,3,5,1,5,2,0,0,40,40,1
17,5,1.9126e+05,7,5,5,9,4,5,2,1055,0,24,40,0
50,7,30653,13,14,3,6,1,5,2,2407,0,98,40,0
27,3,2.0911e+05,13,14,5,11,4,5,2,0,0,35,40,0
30,5,70377,12,9,1,11,4,5,1,0,0,40,40,0
43,5,4.7798e+05,12,9,3,7,1,3,2,0,0,40,40,0
44,5,1.7092e+05,16,10,3,4,1,5,2,7298,0,40,40,1
35,5,1.9017e+05,16,10,5,5,2,5,1,0,0,40,40,0
25,5,1.9379e+05,16,10,5,14,4,5,1,0,0,40,40,0
24,5,2.7947e+05,16,10,3,8,6,5,1,7298,0,48,40,1
22,5,34918,10,13,5,11,2,5,1,0,0,15,12,0
42,3,97688,16,10,3,4,1,5,2,5178,0,40,40,1
34,5,1.7541e+05,8,12,1,13,5,3,1,0,0,45,40,0
60,5,1.7396e+05,10,13,1,11,2,5,1,0,0,42,40,0
21,5,2.0576e+05,12,9,5,7,4,5,2,0,0,40,40,0
57,2,4.2516e+05,13,14,3,13,1,5,2,15024,0,40,40,1
41,5,2.2053e+05,15,15,3,11,1,5,2,0,0,60,40,1
50,5,1.7661e+05,16,10,1,9,2,5,2,0,0,45,40,0
25,5,3.7199e+05,10,13,5,5,2,5,1,0,0,40,40,0
50,5,1.9388e+05,6,4,3,4,1,5,2,0,0,40,8,0
36,5,2.0035e+05,10,13,3,11,1,5,2,0,0,45,40,0
31,5,1.276e+05,12,9,1,11,2,5,1,0,0,40,40,0
29,3,2.2042e+05,10,13,5,12,2,5,2,0,0,56,40,0
21,5,2.3193e+05,16,10,5,13,4,5,2,0,0,45,40,0
27,5,2.484e+05,10,13,5,14,5,3,1,0,0,40,40,0
65,5,1.111e+05,12,9,3,15,1,5,2,0,0,16,40,0
37,6,57424,10,13,1,13,2,5,1,0,0,60,40,0
39,1,1.5744e+05,13,14,3,1,6,2,1,3464,0,40,1,0
24,5,2.7813e+05,12,9,5,4,4,5,2,0,0,40,40,0
38,5,1.6947e+05,12,9,1,13,2,5,2,0,0,80,40,0
48,5,1.4627e+05,10,13,3,2,1,5,2,7688,0,40,40,1
21,5,1.5372e+05,16,10,5,9,2,2,1,0,0,25,40,0
31,5,2.1746e+05,12,9,3,15,1,5,2,0,0,45,40,1
55,5,2.3864e+05,12,9,3,13,1,5,2,4386,0,40,40,1
24,5,3.033e+05,16,10,3,2,6,2,1,0,0,40,26,0
43,5,1.7332e+05,12,9,1,2,2,5,1,0,0,40,40,0
26,5,1.9394e+05,8,12,5,14,2,5,2,0,0,45,40,0
46,5,83082,8,12,5,11,2,5,1,0,0,33,40,0
35,5,1.9382e+05,8,12,3,2,1,5,2,0,0,40,40,1
41,6,34987,16,10,3,6,1,5,2,0,0,54,40,1
26,5,59306,10,13,5,13,2,5,2,0,0,40,40,0
34,5,1.429e+05,13,14,3,5,1,2,2,7298,0,35,37,1
19,1,8.6035e+05,16,10,5,1,4,3,1,0,0,25,40,0
36,7,2.0561e+05,10,13,1,11,2,3,1,0,0,40,40,1
22,5,1.997e+05,16,10,5,13,4,5,2,0,0,15,40,0
24,5,1.9195e+05,16,10,5,8,2,5,2,0,0,40,40,0
77,7,1.3871e+05,16,10,3,13,1,5,2,0,0,40,40,0
22,5,3.9909e+05,5,3,3,8,3,5,1,0,0,40,27,0
29,5,4.2316e+05,16,10,5,14,2,5,1,0,0,40,40,0
62,5,1.5984e+05,12,9,7,9,2,5,1,0,0,24,40,0
39,7,1.7431e+05,12,9,3,5,1,5,2,0,0,40,40,0
43,5,50356,16,10,3,4,1,5,2,0,1485,50,40,0
35,5,1.8611e+05,12,9,1,15,2,5,2,0,0,45,40,0
29,5,2.0038e+05,2,7,5,5,2,5,1,0,0,40,40,0
76,7,1.7431e+05,13,14,3,4,1,5,2,0,0,10,40,0
63,7,78383,12,9,3,6,1,5,2,0,0,45,40,0
23,1,2.116e+05,9,11,5,1,4,3,1,0,0,15,40,0
43,5,1.8773e+05,16,10,3,11,6,5,1,0,1887,50,40,1
58,7,3.2117e+05,12,9,3,7,1,5,2,0,0,40,40,0
66,5,1.2792e+05,12,9,5,15,2,5,2,2050,0,55,40,0
41,5,2.0656e+05,16,10,5,4,2,3,2,0,0,45,40,0
26,5,2.2456e+05,10,13,5,2,2,5,2,0,0,40,40,0
47,5,1.7869e+05,9,11,5,9,2,5,2,0,0,40,40,0
55,3,98545,1,6,3,2,1,5,2,0,0,40,40,0
53,5,2.4261e+05,12,9,3,15,1,5,2,0,0,40,40,0
17,5,2.7094e+05,5,3,5,9,3,5,2,0,0,48,27,0
30,5,94235,12,9,5,4,3,5,2,0,0,40,40,0
49,5,71195,13,14,5,11,2,5,2,0,0,60,40,0
19,5,1.0411e+05,12,9,5,13,5,3,2,0,0,30,15,0
45,5,2.6119e+05,12,9,3,9,1,3,2,0,0,40,40,0
26,5,94936,8,12,5,13,2,5,2,0,0,40,40,0
38,5,2.9648e+05,9,11,3,4,1,5,2,7298,0,40,40,1
36,8,1.1927e+05,12,9,3,12,1,5,2,7298,0,40,40,1
33,5,85043,12,9,5,6,2,5,2,0,0,20,40,0
22,8,2.9336e+05,16,10,5,12,4,3,1,0,0,40,40,0
43,7,2.419e+05,10,13,5,13,2,5,2,0,0,42,40,0
67,1,36135,2,7,3,1,1,5,2,0,0,8,40,0
30,1,1.5199e+05,9,11,1,1,5,5,1,0,0,40,40,0
56,5,1.0113e+05,8,12,4,9,2,5,2,0,0,25,21,0
31,5,1.5646e+05,10,13,5,11,4,5,2,0,0,25,40,0
33,5,1.1796e+05,10,13,3,5,1,5,2,0,0,40,40,1
26,5,1.9226e+05,12,9,3,9,1,5,2,0,0,40,40,0
33,5,1.1136e+05,10,13,3,5,1,5,2,0,0,40,40,1
46,3,3.2975e+05,2,7,3,15,1,5,2,0,0,30,40,0
59,1,3.7202e+05,10,13,3,1,1,5,2,0,0,40,40,1
38,2,95432,12,9,3,2,1,5,2,0,0,40,40,1
65,5,1.614e+05,2,7,7,9,5,4,2,0,0,40,40,0
40,5,96129,9,11,3,14,1,5,2,0,0,40,40,1
42,5,1.1195e+05,12,9,3,2,6,5,1,0,0,35,40,0
26,7,1.1712e+05,7,5,3,4,1,5,2,0,0,40,33,0
36,5,3.4802e+05,1,6,3,9,6,5,1,0,0,24,40,0
62,5,2.7009e+05,13,14,3,11,1,5,2,0,0,40,40,1
43,5,1.8061e+05,10,13,3,15,1,5,2,0,0,45,40,0
43,5,1.7458e+05,10,13,1,5,2,5,2,0,1564,45,40,1
22,5,4.1044e+05,12,9,4,13,2,5,2,0,0,55,40,0
28,5,92262,12,9,3,4,1,5,2,0,0,40,40,0
56,7,1.8308e+05,16,10,3,13,1,5,2,0,0,45,40,0
22,5,3.6259e+05,8,12,5,13,2,5,1,0,0,15,40,0
57,5,2.1245e+05,10,13,1,5,2,5,1,0,0,45,40,1
39,5,4.8106e+05,12,9,1,13,5,5,1,0,0,40,40,0
26,2,1.8588e+05,16,10,5,2,5,5,1,0,0,15,40,0
17,5,89821,2,7,5,9,4,5,2,0,0,10,40,0
40,8,1.8402e+05,9,11,3,8,1,5,2,0,0,38,40,1
45,5,2.5665e+05,12,9,3,8,1,3,2,0,0,40,40,0
44,5,1.6032e+05,12,9,5,4,2,3,2,0,0,40,40,0
20,3,3.5084e+05,16,10,5,2,4,5,1,0,0,10,40,0
33,5,2.674e+05,12,9,3,4,6,5,1,0,0,40,40,0
23,5,35633,16,10,5,13,2,5,2,0,0,40,40,0
46,7,80914,13,14,1,5,2,5,2,0,0,30,40,0
38,5,1.7293e+05,12,9,3,13,1,5,2,0,0,50,40,0
54,5,1.7432e+05,12,9,1,15,2,5,2,0,0,40,40,0
46,5,2.1496e+05,5,3,1,4,2,5,1,0,2339,45,40,0
25,5,3.4499e+05,16,10,3,4,1,5,2,0,0,40,40,0
46,5,1.087e+05,16,10,1,13,2,5,1,0,0,40,40,0
36,3,1.1731e+05,16,10,3,15,6,5,1,0,0,40,40,0
23,5,3.961e+05,12,9,5,9,2,5,1,0,0,25,40,0
29,5,1.3415e+05,12,9,6,8,2,5,2,0,0,40,40,0
44,5,1.6203e+05,16,10,3,2,6,5,1,0,2415,6,40,1
19,5,25429,16,10,5,2,4,5,1,0,0,16,40,0
19,5,2.3239e+05,12,9,5,9,3,5,1,0,0,40,40,0
35,5,2.201e+05,12,9,3,9,6,5,1,0,0,40,40,1
27,5,3.013e+05,10,13,5,4,2,5,2,0,0,50,40,0
46,7,2.7795e+05,8,12,6,4,2,5,2,0,0,40,40,0
34,8,98101,10,13,3,5,1,5,2,7688,0,45,1,1
