year,state,city,school
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Pennsylvania,Pittsburgh,South
1925,Pennsylvania,Pittsburgh,South
1925,Pennsylvania,Pittsburgh,South
1925,Pennsylvania,Pittsburgh,South
1925,Pennsylvania,Pittsburgh,South
1925,Texas,Houston,Milby
1925,Texas,Houston,Milby
1925,Texas,Houston,Milby
1925,Texas,Houston,Milby
1925,Texas,Houston,Milby
1925,Texas,Houston,Milby
1925,Texas,Houston,Milby
1925,Texas,Houston,Milby
1925,Washington,Everett,Everett
1925,Washington,Everett,Everett
1925,Washington,Everett,Everett
1925,Washington,Everett,Everett
1925,Washington,Everett,Everett
1925,Washington,Everett,Everett
1925,Washington,Everett,Everett
1925,Washington,Everett,Everett
1925,Washington,Everett,Everett
1925,Washington,Everett,Everett
1926,California,Brentwood,Liberty-Union
1926,California,Brentwood,Liberty-Union
1926,North-Carolina,Lincolnton,Lincolnton
1926,North-Carolina,Winston-Salem,Richard-J-Reynolds
1926,Texas,Houston,Milby
1926,Texas,Houston,Milby
1926,Texas,Houston,Milby
1926,Texas,Houston,Milby
1926,Texas,Houston,Milby
1926,Texas,Houston,Milby
1926,Texas,Houston,Milby
1926,Texas,Houston,Milby
1927,California,Brentwood,Liberty-Union
1927,California,Brentwood,Liberty-Union
1927,California,Brentwood,Liberty-Union
1927,Missouri,Kansas-City,Paseo
1927,Missouri,Kansas-City,Paseo
1927,Missouri,Kansas-City,Paseo
1927,Missouri,Kansas-City,Paseo
1927,Missouri,Kansas-City,Paseo
1927,Missouri,Kansas-City,Paseo
1927,Missouri,Kansas-City,Paseo
1927,Missouri,Kansas-City,Paseo
1927,Missouri,Kansas-City,Paseo
1927,Missouri,Kansas-City,Paseo
1927,Missouri,Kansas-City,Paseo
1927,Missouri,Kansas-City,Paseo
1927,Missouri,Kansas-City,Paseo
1927,Missouri,Kansas-City,Paseo
1927,Missouri,Kansas-City,Paseo
1927,Missouri,Kansas-City,Paseo
1927,Missouri,Kansas-City,Paseo
1927,Missouri,Kansas-City,Paseo
1927,Missouri,Kansas-City,Paseo
1927,Missouri,Kansas-City,Paseo
1927,Missouri,Kansas-City,Paseo
1927,Missouri,Kansas-City,Paseo
1927,Missouri,Kansas-City,Paseo
1927,Missouri,Kansas-City,Paseo
1927,Missouri,Kansas-City,Paseo
1927,Missouri,Kansas-City,Paseo
1927,Missouri,Kansas-City,Paseo
1927,Missouri,Kansas-City,Paseo
1927,Missouri,Kansas-City,Paseo
1927,Missouri,Kansas-City,Paseo
1927,Missouri,Kansas-City,Paseo
1927,Missouri,Kansas-City,Paseo
1927,North-Carolina,Cooleemee,Cooleemee
1927,North-Carolina,Cooleemee,Cooleemee
1927,North-Carolina,Cooleemee,Cooleemee
1927,North-Carolina,Lincolnton,Lincolnton
1927,Virginia,Arlington,Washington-Lee
1927,Virginia,Arlington,Washington-Lee
1927,Virginia,Arlington,Washington-Lee
1927,Virginia,Arlington,Washington-Lee
1927,Virginia,Arlington,Washington-Lee
1927,Virginia,Arlington,Washington-Lee
1927,Virginia,Arlington,Washington-Lee
1927,Virginia,Arlington,Washington-Lee
1927,Virginia,Arlington,Washington-Lee
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,Missouri,Kansas-City,Paseo
1928,New-York,Brooklyn,Thomas-Jefferson
1928,New-York,Brooklyn,Thomas-Jefferson
1928,New-York,Brooklyn,Thomas-Jefferson
1928,New-York,Brooklyn,Thomas-Jefferson
1928,New-York,Brooklyn,Thomas-Jefferson
1928,New-York,Brooklyn,Thomas-Jefferson
1928,New-York,Brooklyn,Thomas-Jefferson
1928,New-York,Brooklyn,Thomas-Jefferson
1928,New-York,Brooklyn,Thomas-Jefferson
1928,New-York,Brooklyn,Thomas-Jefferson
1928,New-York,Brooklyn,Thomas-Jefferson
1928,New-York,Brooklyn,Thomas-Jefferson
1928,New-York,Brooklyn,Thomas-Jefferson
1928,New-York,Brooklyn,Thomas-Jefferson
1928,New-York,Brooklyn,Thomas-Jefferson
1928,New-York,Brooklyn,Thomas-Jefferson
1928,New-York,Brooklyn,Thomas-Jefferson
1928,New-York,Brooklyn,Thomas-Jefferson
1928,New-York,Brooklyn,Thomas-Jefferson
1928,New-York,Brooklyn,Thomas-Jefferson
1928,New-York,Brooklyn,Thomas-Jefferson
1928,New-York,Brooklyn,Thomas-Jefferson
1928,New-York,Brooklyn,Thomas-Jefferson
1928,New-York,Brooklyn,Thomas-Jefferson
1928,New-York,Brooklyn,Thomas-Jefferson
1928,New-York,Brooklyn,Thomas-Jefferson
1928,New-York,Brooklyn,Thomas-Jefferson
1928,North-Carolina,Henderson,Henderson
1928,North-Carolina,Henderson,Henderson
1928,North-Carolina,Winston-Salem,Richard-J-Reynolds
1928,Ohio,Cleveland,Collinwood
1928,Ohio,Cleveland,Collinwood
1928,Ohio,Cleveland,Collinwood
1928,Ohio,Cleveland,Collinwood
1928,Ohio,Cleveland,Collinwood
1928,Ohio,Cleveland,Collinwood
1928,Ohio,Cleveland,Collinwood
1928,Ohio,Cleveland,Collinwood
1928,Ohio,Cleveland,Collinwood
1928,Ohio,Cleveland,Collinwood
1928,Ohio,Cleveland,Collinwood
1928,Ohio,Cleveland,Collinwood
1928,Ohio,Cleveland,Collinwood
1928,Ohio,Cleveland,Collinwood
1928,Ohio,Cleveland,Collinwood
1928,Ohio,Cleveland,Collinwood
1928,Ohio,Cleveland,Collinwood
1928,Ohio,Cleveland,Collinwood
1928,Ohio,Cleveland,Collinwood
1928,Ohio,Cleveland,Collinwood
1928,Ohio,Cleveland,Collinwood
1928,Ohio,Cleveland,Collinwood
1928,Ohio,Cleveland,Collinwood
1928,Ohio,Cleveland,Collinwood
1928,Ohio,Cleveland,Collinwood
1928,Ohio,Cleveland,Collinwood
1928,Ohio,Cleveland,Collinwood
1928,Ohio,Cleveland,Collinwood
1928,Ohio,Cleveland,Collinwood
1929,California,Brentwood,Liberty-Union
1929,California,Brentwood,Liberty-Union
1929,California,Brentwood,Liberty-Union
1929,California,Brentwood,Liberty-Union
1929,California,Brentwood,Liberty-Union
1929,California,Brentwood,Liberty-Union
1929,California,Brentwood,Liberty-Union
1929,Kansas,Kansas-City,Rosedale
1929,Kansas,Kansas-City,Rosedale
1929,Kansas,Kansas-City,Rosedale
1929,Kansas,Kansas-City,Rosedale
1929,Kansas,Kansas-City,Rosedale
1929,Kansas,Kansas-City,Rosedale
1929,Kansas,Kansas-City,Rosedale
1929,Kansas,Kansas-City,Rosedale
1929,Kansas,Kansas-City,Rosedale
1929,Kansas,Kansas-City,Rosedale
1929,Kansas,Kansas-City,Rosedale
1929,Kansas,Kansas-City,Rosedale
1929,Missouri,Kansas-City,Paseo
1929,Missouri,Kansas-City,Paseo
1929,Missouri,Kansas-City,Paseo
1929,Missouri,Kansas-City,Paseo
1929,Missouri,Kansas-City,Paseo
1929,Missouri,Kansas-City,Paseo
1929,Missouri,Kansas-City,Paseo
1929,Missouri,Kansas-City,Paseo
1929,Missouri,Kansas-City,Paseo
1929,Missouri,Kansas-City,Paseo
1929,Missouri,Kansas-City,Paseo
1929,Missouri,Kansas-City,Paseo
1929,Missouri,Kansas-City,Paseo
1929,Missouri,Kansas-City,Paseo
1929,Missouri,Kansas-City,Paseo
1929,Missouri,Kansas-City,Paseo
1929,Missouri,Kansas-City,Paseo
1929,Missouri,Kansas-City,Paseo
1929,Missouri,Kansas-City,Paseo
1929,Missouri,Kansas-City,Paseo
1929,Missouri,Kansas-City,Paseo
1929,Missouri,Kansas-City,Paseo
1929,Missouri,Kansas-City,Paseo
1929,Missouri,Kansas-City,Paseo
1929,Missouri,Kansas-City,Paseo
1929,Missouri,Kansas-City,Paseo
1929,Missouri,Kansas-City,Paseo
1929,Missouri,Kansas-City,Paseo
1929,Missouri,Kansas-City,Paseo
1929,Missouri,Kansas-City,Paseo
1929,Missouri,Kansas-City,Paseo
1929,Missouri,Kansas-City,Paseo
1929,Missouri,Kansas-City,Paseo
1929,Missouri,Kansas-City,Paseo
1929,Missouri,Kansas-City,Paseo
1929,Missouri,Kansas-City,Paseo
1929,New-York,Brooklyn,Thomas-Jefferson
1929,New-York,Brooklyn,Thomas-Jefferson
1929,New-York,Brooklyn,Thomas-Jefferson
1929,New-York,Brooklyn,Thomas-Jefferson
1929,New-York,Brooklyn,Thomas-Jefferson
1929,New-York,Brooklyn,Thomas-Jefferson
1929,New-York,Brooklyn,Thomas-Jefferson
1929,New-York,Brooklyn,Thomas-Jefferson
1929,New-York,Brooklyn,Thomas-Jefferson
1929,New-York,Brooklyn,Thomas-Jefferson
1929,New-York,Brooklyn,Thomas-Jefferson
1929,New-York,Brooklyn,Thomas-Jefferson
1929,New-York,Brooklyn,Thomas-Jefferson
1929,New-York,Brooklyn,Thomas-Jefferson
1929,New-York,Brooklyn,Thomas-Jefferson
1929,New-York,Brooklyn,Thomas-Jefferson
1929,New-York,Brooklyn,Thomas-Jefferson
1929,New-York,Brooklyn,Thomas-Jefferson
1929,New-York,Brooklyn,Thomas-Jefferson
1929,New-York,Brooklyn,Thomas-Jefferson
1929,New-York,Brooklyn,Thomas-Jefferson
1929,New-York,Brooklyn,Thomas-Jefferson
1929,New-York,Brooklyn,Thomas-Jefferson
1929,New-York,Brooklyn,Thomas-Jefferson
1929,New-York,Brooklyn,Thomas-Jefferson
1929,New-York,Brooklyn,Thomas-Jefferson
1929,New-York,Brooklyn,Thomas-Jefferson
1929,New-York,Brooklyn,Thomas-Jefferson
1929,New-York,Brooklyn,Thomas-Jefferson
1929,New-York,Brooklyn,Thomas-Jefferson
1929,New-York,Brooklyn,Thomas-Jefferson
1929,New-York,Brooklyn,Thomas-Jefferson
1929,Ohio,Cleveland,Collinwood
1929,Ohio,Cleveland,Collinwood
1929,Ohio,Cleveland,Collinwood
1929,Ohio,Cleveland,Collinwood
1929,Ohio,Cleveland,Collinwood
1929,Ohio,Cleveland,Collinwood
1929,Ohio,Cleveland,Collinwood
1929,Ohio,Cleveland,Collinwood
1929,Ohio,Cleveland,Collinwood
1929,Ohio,Cleveland,Collinwood
1929,Ohio,Cleveland,Collinwood
1929,Ohio,Cleveland,Collinwood
1929,Ohio,Cleveland,Collinwood
1929,Ohio,Cleveland,Collinwood
1929,Ohio,Cleveland,Collinwood
1929,Ohio,Cleveland,Collinwood
1929,Ohio,Cleveland,Collinwood
1929,Ohio,Cleveland,Collinwood
1929,Ohio,Cleveland,Collinwood
1929,Ohio,Cleveland,Collinwood
1929,Ohio,Cleveland,Collinwood
1929,Ohio,Cleveland,Collinwood
1929,Ohio,Cleveland,Collinwood
1929,Ohio,Cleveland,Collinwood
1929,Ohio,Cleveland,Collinwood
1929,Ohio,Cleveland,Collinwood
1929,Ohio,Cleveland,Collinwood
1929,Ohio,Cleveland,Collinwood
1929,Ohio,Cleveland,Collinwood
1929,Ohio,Cleveland,Collinwood
1929,Ohio,Cleveland,Collinwood
1929,Ohio,Cleveland,Collinwood
1929,Ohio,Cleveland,Collinwood
1929,Ohio,Cleveland,Collinwood
1929,Ohio,Cleveland,Collinwood
1929,Pennsylvania,Pittsburgh,Langley
1929,Pennsylvania,Pittsburgh,Langley
1929,Pennsylvania,Pittsburgh,Langley
1929,Pennsylvania,Pittsburgh,Langley
1929,Pennsylvania,Pittsburgh,Langley
1929,Pennsylvania,Pittsburgh,Langley
1929,Pennsylvania,Pittsburgh,Langley
1929,Pennsylvania,Pittsburgh,Langley
1929,Pennsylvania,Pittsburgh,Langley
